affiliation,ror_id,predicted_ror_id,prediction_score,match_type,fallback_queries
Mittweida University of Applied Sciences,https://ror.org/024ga3r86,https://ror.org/024ga3r86,1.0,crf_fallback,Mittweida University of Applied Sciences
Currently with Globalfoundries,https://ror.org/02h0ps145,,,no_match,Currently with Globalfoundries
Technische Universität Berlin,https://ror.org/03v4gjf40,https://ror.org/03v4gjf40,1.0,marple,
"""analytical laboratory qlab""",https://ror.org/02efc3n22,https://ror.org/02efc3n22,1.0,marple,
Rosenberger OSI GmbH & Co OHG,https://ror.org/010t6g940,,,no_match,Rosenberger OSI GmbH & Co OHG
Centre dintégration NanoINNOV,,,,no_match,Centre dintégration NanoINNOV
"""chemours""",https://ror.org/0394f3t90,https://ror.org/0394f3t90,1.0,crf_fallback,""" chemours """
Micro/Nano Photonics Research Center,,,,no_match,Micro / Nano Photonics Research Center
Currently atNVIDIA Corporation,https://ror.org/03jdj4y14,,,no_match,Currently atNVIDIA Corporation
Institute of Chemical Technology,https://ror.org/00ykac431,https://ror.org/00ykac431,1.0,crf_fallback,Institute of Chemical Technology
Instituto de Optica Daza de Valdés  CSIC,https://ror.org/002zef647,https://ror.org/002zef647,1.0,marple,
Faculdade de Tecnologia de São Paulo,,,,no_match,Faculdade de Tecnologia de São Paulo
Dpto Luminotecnia,,,,no_match,Dpto Luminotecnia
Universitéde Lorraine,https://ror.org/04vfs2w97,,,no_match,Universitéde Lorraine
Polytechnic School of University of São Paulo,https://ror.org/036rp1748,https://ror.org/036rp1748,1.0,marple,
Nicolaus Copernicus University,https://ror.org/0102mm775,https://ror.org/0102mm775,1.0,marple,
"The Fifth Affiliated Hospital of ZunYi Medical University, Zhuhai, China China",https://ror.org/00g5b0g93,https://ror.org/00g5b0g93,1.0,marple,
University of Hamburg,https://ror.org/00g30e956,https://ror.org/00g30e956,1.0,marple,
Huawei Technologies  Sweden  AB,https://ror.org/0500fyd17,https://ror.org/0500fyd17,1.0,marple,
Author,,,,no_match,Author
Centro Hospitalar Universitário do Porto,https://ror.org/04dwpyh46,,,no_match,Centro Hospitalar Universitário do Porto
Cultivation of Science,,,,no_match,Cultivation of Science
Eastern Mediterranean University,https://ror.org/00excyz84,https://ror.org/00excyz84,1.0,marple,
Innovation Academy for Microsatellites of CAS,https://ror.org/05f6mer85,https://ror.org/05f6mer85,1.0,marple,
"Departement of Islamic Economy, Allameh Tabatai University, Tehran, Iran Iran, Islamic Republic of",https://ror.org/02cc4gc68,https://ror.org/02cc4gc68,0.91,crf_fallback,"Departement of Islamic Economy, Iran Iran; Allameh Tabatai University, Iran Iran"
ASL Citta Torino,,,,no_match,ASL Citta Torino
University of Campinas UNICAMP,https://ror.org/04wffgt70,https://ror.org/04wffgt70,1.0,marple,
VITCON Projectconsult GmbH,,,,no_match,VITCON Projectconsult GmbH
"Marriott International Inc. Bonaire, Sint Eustatius and Saba",,,,no_match,Marriott International Inc. Bonaire
Saint Mary's University,https://ror.org/010zh7098,https://ror.org/010zh7098,1.0,crf_fallback,Saint Mary ' s University
The Lighthouse Trust,https://ror.org/009wrgz05,https://ror.org/009wrgz05,1.0,marple,
Agricultural Research Center,https://ror.org/05hcacp57,https://ror.org/05hcacp57,1.0,marple,
Universiti Sains Malaysia,https://ror.org/02rgb2k63,https://ror.org/02rgb2k63,1.0,marple,
"Next Generation, Resilience Plan Funds",,,,no_match,Next Generation
"Gastroenterology Department, Wollongong Hospital, Wollongong",https://ror.org/02d0e3p67,https://ror.org/02d0e3p67,1.0,marple,
Universidad Distrital ,https://ror.org/02jsxd428,,,no_match,Universidad Distrital
Charles University - Journal Envigogika,https://ror.org/024d6js02,https://ror.org/024d6js02,1.0,marple,
Centro Universitario de la Defensa de Zaragoza,https://ror.org/00nqz4988,https://ror.org/00nqz4988,1.0,marple,
Beijing Engineering Research Center of Industrial Spectrum Imaging,,,,no_match,Beijing Engineering Research Center of Industrial Spectrum Imaging
IUCN Oil Crops Task Force,,,,no_match,IUCN Oil Crops Task Force
"Univ Lille, Inserm, CHU de Lille, U1172, Lille Neuroscience & Cognition, 59000 Lille, France; F2RSM psy-fédération régionale de recherche en psychiatrie et santé mentale Hauts-de-France, Saint-André-Lez-Lille, France; Centre national de ressources et de résilience Lille-Paris (CN2R), 59000 Lille, France.",,https://ror.org/04p94ax69,1.0,marple,
National Natural Science Foundation of China,https://ror.org/01h0zpd94,https://ror.org/01h0zpd94,1.0,marple,
The Fifth Medical Center of PLA General Hospital,,,,no_match,The Fifth Medical Center of PLA General Hospital
Circuitry with Optical Interconnection Business Development,,,,no_match,Circuitry with Optical Interconnection Business Development
OZ Optics Limited,https://ror.org/01nscpg76,,,no_match,OZ Optics Limited
Guangzhou City University of Technology,,https://ror.org/03gbw6p94,0.8015979166666667,marple,
University of Idaho,https://ror.org/03hbp5t65,https://ror.org/03hbp5t65,1.0,marple,
Shanghai InfoCrops Science & Technology Co,,,,no_match,Shanghai InfoCrops Science & Technology Co
Leibniz IPHT,https://ror.org/02se0t636,,,no_match,Leibniz IPHT
Institute for Research in Electronics & Applied Physics,,,,no_match,Institute for Research in Electronics & Applied Physics
Universita degli Studi di Trento,https://ror.org/05trd4x28,https://ror.org/05trd4x28,1.0,marple,
UniversitéLille,https://ror.org/02kzqn938,,,no_match,UniversitéLille
Finnish Institute for Health and Welfare (THL),https://ror.org/03tf0c761,https://ror.org/03tf0c761,1.0,marple,
Unika - Unika Repositor,,,,no_match,Unika - Unika Repositor
CEUNI Mexico,,,,no_match,"CEUNI, Mexico"
LG Display Co,,,,no_match,LG Display Co
Advanced Network Research Laboratories,,,,no_match,Advanced Network Research Laboratories
Institute of Photoelectrochemistry,,,,no_match,Institute of Photoelectrochemistry
UNOESTE,https://ror.org/00ccec020,,,no_match,UNOESTE
"Department of Mechanical Engineering, Faculty of Engineering, University of Isfahan, Hezar Jerib Ave., Isfahan, Iran",https://ror.org/05h9t7759,https://ror.org/05h9t7759,1.0,marple,
UFMS  Universidade Federal de Mato Grosso do Sul,https://ror.org/0366d2847,https://ror.org/0366d2847,1.0,marple,
University of Barcelona,https://ror.org/021018s57,https://ror.org/021018s57,1.0,marple,
Institute of Optical Fiber Sensing ofTianjin University,https://ror.org/012tb2g32,,,no_match,Institute of Optical Fiber Sensing ofTianjin University
Isaac Newton Centre,,,,no_match,Isaac Newton Centre
Iowa State University,https://ror.org/04rswrd78,https://ror.org/04rswrd78,1.0,marple,
Wiley United States of America,https://ror.org/02xe89706,,,no_match,Wiley United States of America
Department for Nanometer Optics and Technology,,,,no_match,Department for Nanometer Optics and Technology
"Department of Organization Management, Antai College of Economics & Management, Shanghai Jiao Tong University, Shanghai, 200030 People’s Republic of China",https://ror.org/0220qvk04,https://ror.org/0220qvk04,1.0,marple,
University of Applied Sciences Ludwigsburg (HS Ludwigsburg),https://ror.org/02j0n6s98,,,no_match,University of Applied Sciences Ludwigsburg ( HS Ludwigsburg )
Health Systems Global,https://ror.org/00vbd4626,https://ror.org/00vbd4626,1.0,marple,
TI Automotive Systems  Changchun  Co,,,,no_match,TI Automotive Systems Changchun Co
Guangdong Industry Polytechnic,,,,no_match,Guangdong Industry Polytechnic
Hangzhou City University,,https://ror.org/03cd4ja39,0.94,crf_fallback,Hangzhou City University
Gedik University,https://ror.org/05msvfx67,https://ror.org/05msvfx67,1.0,marple,
"API R&D Laboratory, Research Division, Shionogi & Co., Ltd., 1 1, Futaba cho 3 Chome, Toyonaka, Osaka 561 0825, Japan",https://ror.org/01v3bqg10,,,no_match,"API R & D Laboratory, Japan; Research Division, Japan; Shionogi & Co., Japan; Ltd., Japan"
Brookman Technology Co,,,,no_match,Brookman Technology Co
"Professor de Ensino Superior, Fatec Ourinhos",,,,no_match,Professor de Ensino Superior
"King Abdulaziz University, Jeddah Saudi Arabia",https://ror.org/02ma4wv74,https://ror.org/02ma4wv74,1.0,marple,
CCB Fintech Co LtdPudong New Area,,,,no_match,CCB Fintech Co LtdPudong New Area
Universidad Nacional de Colombia,https://ror.org/059yx9a68,https://ror.org/059yx9a68,1.0,marple,
University of Westminster,https://ror.org/04ycpbx82,https://ror.org/04ycpbx82,1.0,marple,
Charles Darwin University,https://ror.org/048zcaj52,https://ror.org/048zcaj52,1.0,marple,
FormerlyMcMaster University,https://ror.org/02fa3aq29,,,no_match,FormerlyMcMaster University
Tencent Robotics X Lab,https://ror.org/00hhjss72,,,no_match,Tencent Robotics X Lab
Groupe de Spectrométrie Moléculaire et Atmosphérique  GSMA,https://ror.org/03vyzg221,https://ror.org/03vyzg221,1.0,marple,
Soban Singh Jeena  SSJ  University,,,,no_match,Soban Singh Jeena SSJ University
Key Laboratory of THz Optoelectronics,,,,no_match,Key Laboratory of THz Optoelectronics
Northwestern Polytechnical University CN,https://ror.org/01y0j0j86,https://ror.org/01y0j0j86,1.0,marple,
"University of California, San Francisco",https://ror.org/043mz5j54,https://ror.org/043mz5j54,1.0,marple,
Comisión Nacional de Energía Atómica  CNEA —Universidad Nacional de Cuyo  UNCUYO,https://ror.org/05sn8wf81; https://ror.org/01xz39a70,https://ror.org/05sn8wf81,1.0,marple,
"Nnamdi Azikiwe University, Awka",https://ror.org/02r6pfc06,https://ror.org/02r6pfc06,1.0,marple,
Humboldt-Universitat zu Berlin,https://ror.org/01hcx6992,https://ror.org/01hcx6992,1.0,marple,
Xian University of Technolog,,,,no_match,Xian University of Technolog
PETRA,,,,no_match,PETRA
Ollscoil na Gaillimhe – University of Galway,https://ror.org/03bea9k73,https://ror.org/03bea9k73,1.0,marple,
CEA - Grenoble,https://ror.org/02mg6n827,https://ror.org/02mg6n827,1.0,crf_fallback,CEA - Grenoble
Institute of Nuclear Physics,,https://ror.org/01136x372,1.0,crf_fallback,Institute of Nuclear Physics
Donostia International Physics Center  DIPC  San Sebastián Donostia,https://ror.org/02e24yw40,https://ror.org/02e24yw40,1.0,marple,
Current addressAMO GmbH,,,,no_match,Current addressAMO GmbH
Ningbo University of Finance & Economics,,https://ror.org/005d8s603,1.0,marple,
Hunan Key Laboratory of Mechanism and Technology of Quantum Information,,,,no_match,Hunan Key Laboratory of Mechanism and Technology of Quantum Information
Simon Fraser University,https://ror.org/0213rcc28,https://ror.org/0213rcc28,1.0,marple,
Technische Hochschule Brandenburg (3310),https://ror.org/04qj3gf68,https://ror.org/04qj3gf68,1.0,marple,
Institute of Mechanics and Acoustic Metrology,,,,no_match,Institute of Mechanics and Acoustic Metrology
Madan Mohan Malviya University of Technology,https://ror.org/04h1w2j35,https://ror.org/04h1w2j35,0.99,crf_fallback,Madan Mohan Malviya University of Technology
Shandong Agricultural University,https://ror.org/02ke8fw32,https://ror.org/02ke8fw32,1.0,marple,
"Center for Epigenetics and Metabolism, Irvine, United States",,,,no_match,"Center for Epigenetics and Metabolism, United States"
Galway University Hospital and Department of Pathology,https://ror.org/04scgfz75,https://ror.org/03bea9k73,1.0,crf_fallback,Galway University Hospital and Department of Pathology
EspyLux LLC,,,,no_match,EspyLux LLC
ddd Romania,,,,no_match,
Infrared Detection Technology Research and Development Center,,,,no_match,Infrared Detection Technology Research and Development Center
"Institute of Epidemiology, Disease Control and Research",https://ror.org/03bgw1x40,https://ror.org/03bgw1x40,1.0,marple,
University Of Oxford,https://ror.org/052gg0110,https://ror.org/052gg0110,1.0,marple,
Institut preparatoire aux etudes Litteraires et de sciences humaines,,,,no_match,Institut preparatoire aux etudes Litteraires et de sciences humaines
National Marine Environmental Monitoring Center,,,,no_match,National Marine Environmental Monitoring Center
"Virginia Commonwealth University, School of Medicine",https://ror.org/02nkdxk79,https://ror.org/02nkdxk79,1.0,marple,
CONICE,,,,no_match,CONICE
LinOptx LLC,,,,no_match,LinOptx LLC
Al Furat Al Awsat Technical University ATU,https://ror.org/04hsvhf62,https://ror.org/04hsvhf62,0.95,crf_fallback,Al Furat Al Awsat Technical University ATU
Departamento de Investigaciones en Láseres y Aplicaciones,,,,no_match,Departamento de Investigaciones en Láseres y Aplicaciones
Key Lab Dairy Biotechnol & Safety Control,,,,no_match,Key Lab Dairy Biotechnol & Safety Control
Key Laboratory for Advanced Display and System Application,,,,no_match,Key Laboratory for Advanced Display and System Application
Centro Nacional de Energías Renovables,https://ror.org/03426vf35,https://ror.org/03426vf35,1.0,marple,
currently with European Space Agency  ESA/ECSAT,https://ror.org/03wd9za21,https://ror.org/03wd9za21,1.0,marple,
Key Laboratory of Photonic Control Technology Tsinghua University,https://ror.org/03cve4549,https://ror.org/03cve4549,1.0,marple,
the National Key R&D Program of China,,,,no_match,the National Key R & D Program of China
Advanced Ophthalmology Laboratory  AOL,,,,no_match,Advanced Ophthalmology Laboratory AOL
Université de Technologie de Troyes & CNRS ERL7004,https://ror.org/01qhqcj41; https://ror.org/02feahw73,https://ror.org/01qhqcj41,1.0,marple,
The Bio X Program,,,,no_match,The Bio X Program
Jiaxing Xurui Electronics Tech Co Ltd,,https://ror.org/009rbsv73,0.7077982500000001,marple,
"Key project supported by the Natural Science Foundation of Fujian province, China",,,,no_match,"Key project supported by the Natural Science Foundation of Fujian province, China"
"Korea Institute of Energy Research, Daejeon",https://ror.org/0298pes53,https://ror.org/0298pes53,1.0,marple,
Shandong Ruixing Single Mode Laser Technology Co,,,,no_match,Shandong Ruixing Single Mode Laser Technology Co
Jinnah Sindh Medical University - Pakistan,https://ror.org/010pmyd80,https://ror.org/010pmyd80,1.0,marple,
Jilin Engineering Vocational College,,,,no_match,Jilin Engineering Vocational College
National Institute of Information and Communications Technologies  NICT,https://ror.org/016bgq349,https://ror.org/016bgq349,1.0,marple,
"Stanley Center at the Broad, Cambridge, United States",https://ror.org/05a0ya142,,,no_match,"Stanley Center at the Broad, United States"
TIIAME National Research University,https://ror.org/01s4mx151,,,no_match,TIIAME National Research University
ASML Tainan,,,,no_match,ASML Tainan
State Key Laboratory of Optometry,,,,no_match,State Key Laboratory of Optometry
University of Helsinki,https://ror.org/040af2s02,https://ror.org/040af2s02,1.0,marple,
Teaching and Research Institute,,,,no_match,Teaching and Research Institute
National University Of Ireland Galway,https://ror.org/03bea9k73,https://ror.org/00shsf120,1.0,marple,
Kastamonu University,https://ror.org/015scty35,https://ror.org/015scty35,1.0,marple,
The University of Tennessee at Chattanooga,https://ror.org/00nqb1v70,https://ror.org/00nqb1v70,1.0,marple,
Zhejiang Academy of Surveying and Mapping,,,,no_match,Zhejiang Academy of Surveying and Mapping
British Council Kosovo,,,,no_match,British Council Kosovo
"Hospital Sant Joan de Déu Barcelona, Barcelona",https://ror.org/001jx2139,,,no_match,Hospital Sant Joan de Déu Barcelona
DLR   Institute of Optical Sensor Systems,,,,no_match,DLR Institute of Optical Sensor Systems
Université Grenoble Alpes/CNRS,https://ror.org/02rx3b187,https://ror.org/02rx3b187,1.0,marple,
Embrapa Instrumentation,https://ror.org/0482b5b22,,,no_match,Embrapa Instrumentation
University of East Anglia,https://ror.org/026k5mg93,https://ror.org/026k5mg93,1.0,marple,
Institut Pierre Simon Laplace  IPSL,https://ror.org/02haar591,https://ror.org/02haar591,1.0,marple,
King Fahd University of Petroleum and Minerals (Saudi Arabia),https://ror.org/03yez3163,https://ror.org/03yez3163,1.0,marple,
G G Devyatykh Institute of Chemistry of High Purity Substances of RAS,https://ror.org/015vgt264,https://ror.org/015vgt264,0.9,crf_fallback,G G Devyatykh Institute of Chemistry of High Purity Substances of RAS
Tianjin Institute of Technology and Physics,,https://ror.org/00183pc12,0.91,crf_fallback,Tianjin Institute of Technology and Physics
"UKE, Germany",,,,no_match,"UKE, Germany"
Physikalisch Meteorologisches Observatorium Davos / World Radiation Center  PMOD/WRC,https://ror.org/02gtrqv93,https://ror.org/02gtrqv93,1.0,marple,
"Univ Lille, Inserm, CHU de Lille, U1172, Lille Neuroscience & Cognition, 59000 Lille, France; Centre national de ressources et de résilience Lille-Paris (CN2R), 59000 Lille, France.",https://ror.org/02kzqn938; https://ror.org/02vjkv261; https://ror.org/02ppyfa04,https://ror.org/04p94ax69,1.0,marple,
MCKV Institute of Engineering,,https://ror.org/03ny67e60,0.91516725,marple,
"%European Centre for Medium-Range Weather Forecasts, Reading RG2 9AX, UKs",https://ror.org/014w0fd65,https://ror.org/014w0fd65,1.0,marple,
Hunan Institute of Engineering,https://ror.org/03zj2rn70,https://ror.org/03zj2rn70,1.0,marple,
United Soybean Board,https://ror.org/03az66838,https://ror.org/03az66838,1.0,marple,
Unit 31121,,,,no_match,Unit 31121
Shanghai Key Laboratory of Ocular Fundus Diseases,,,,no_match,Shanghai Key Laboratory of Ocular Fundus Diseases
"Global Centre for Environmental Remediation (GCER), College of Engineering, Science and Environment, The University of Newcastle, Callaghan, NSW 2308, Australia",https://ror.org/00eae9z71,https://ror.org/00eae9z71,1.0,crf_fallback,"Global Centre for Environmental Remediation ( GCER ), Australia; College of Engineering, Science and Environment, Australia; The University of Newcastle, Australia"
Mederrata Research Inc,,,,no_match,Mederrata Research Inc
University of Hull,https://ror.org/04nkhwh30,https://ror.org/04nkhwh30,1.0,marple,
National Yang Ming Chiao Tung University,https://ror.org/00se2k293,https://ror.org/00se2k293,1.0,marple,
Admin Romania,,,,no_match,"Admin, Romania"
Politecnico di TORINO,https://ror.org/00bgk9508,https://ror.org/00bgk9508,1.0,marple,
"Ollscoil na Gaillimhe ? University of Galway, Galw",https://ror.org/03bea9k73,https://ror.org/03bea9k73,1.0,marple,
Research Centre of Medical Genetics of the Russian Academy of Medical Sciences - Medical genetics,https://ror.org/029k7k053,,,no_match,Research Centre of Medical Genetics of the Russian Academy of Medical Sciences - Medical genetics
"University of Thessaly, Greece",https://ror.org/04v4g9h31,https://ror.org/04v4g9h31,1.0,marple,
UOS,,,,no_match,UOS
Ghent University Centre for X Ray Tomography  UGCT,https://ror.org/00cv9y106,https://ror.org/00cv9y106,1.0,marple,
"Fundação para a Ciência e Tecnologia, I.P.",https://ror.org/00snfqn58,https://ror.org/00snfqn58,1.0,marple,
"Department of Physics, Indian Institute of Science, Bangalore - 560012 India",https://ror.org/04dese585,https://ror.org/05j873a45,0.92,crf_fallback,"Department of Physics, Indian Institute of Science, India"
Bank of America Corporation,https://ror.org/006tvg625,https://ror.org/006tvg625,1.0,marple,
"Department of Medical Laboratory Sciences, University of Buea, Buea, Cameroon Cameroon",https://ror.org/041kdhz15,https://ror.org/041kdhz15,1.0,marple,
Nanjing University of Aeronautics andAstronautics,https://ror.org/01scyh794,,,no_match,Nanjing University of Aeronautics andAstronautics
Center for Complex Systems and Brain Sciences,,,,no_match,Center for Complex Systems and Brain Sciences
State Institute for Islamic Studies - MADANIA : Jurnal Kajian Keislaman,,,,no_match,State Institute for Islamic Studies - MADANIA : Jurnal Kajian Keislaman
"Centre for Translational Atomaterials, School of Science, Swinburne University of Technology. John Street, Hawthorn, VIC 3122, Australia",https://ror.org/031rekg67,https://ror.org/031rekg67,1.0,marple,
One Health Trust,,,,no_match,One Health Trust
Constellation Brands Inc. Anguilla,https://ror.org/0375ygm12,,,no_match,"Constellation Brands Inc., Anguilla"
Centre Européen de la Céramique,https://ror.org/04k4pxr75,https://ror.org/04k4pxr75,1.0,marple,
National Health Research Institutes,https://ror.org/02r6fpx29,https://ror.org/02r6fpx29,1.0,marple,
"Department of Mechanical Engineering, Faculty of Engineering, University of Zabol, Zabol, Iran",https://ror.org/03d9mz263,https://ror.org/03d9mz263,1.0,marple,
Harbin Boiler Company Limited,,,,no_match,Harbin Boiler Company Limited
Jefferson-Pilot Co. Sierra Leone,,,,no_match,Jefferson - Pilot Co. Sierra Leone
universidad nacional autonoma de mexic,https://ror.org/01tmp8f25,https://ror.org/01tmp8f25,1.0,marple,
Defence Science & Technology Group,https://ror.org/05ddrvt52,https://ror.org/05ddrvt52,1.0,marple,
Hart SCI,,,,no_match,Hart SCI
Albert-Ludwigs-Universität Freiburg,https://ror.org/0245cg223,https://ror.org/0245cg223,1.0,marple,
Cesky Metrologicky Institut  CMI,https://ror.org/02m5haa59,https://ror.org/02m5haa59,1.0,marple,
Shaffer Consulting Inc,,,,no_match,Shaffer Consulting Inc
Jiangsu Open University,,,,no_match,Jiangsu Open University
University of Oran Algeria,https://ror.org/059et2b68,https://ror.org/059et2b68,1.0,marple,
Commonwealth Scientific And Industrial Research Organisation,https://ror.org/03qn8fb07,https://ror.org/03qn8fb07,1.0,marple,
Deutsche Gesellschaft für Auswärtige Politik e.V. (4356),https://ror.org/049xxah85,https://ror.org/049xxah85,1.0,marple,
InnoHK Initiative and the Hong Kong Special Administrative Region Government,https://ror.org/034179816,,,no_match,InnoHK Initiative and the Hong Kong Special Administrative Region Government
Currently with Semtech Neuchâtel Sàrl,,,,no_match,Currently with Semtech Neuchâtel Sàrl
Beijing Chenjing Electronics Co,,,,no_match,Beijing Chenjing Electronics Co
" School of Aeronautics, Northwestern Polytechnical University, Xi'an, Shaanxi, China",https://ror.org/01y0j0j86,https://ror.org/01y0j0j86,1.0,marple,
HangzhouInstitute for Advanced Study,,,,no_match,HangzhouInstitute for Advanced Study
Testing 2,,,,no_match,Testing 2
University of St. Thomas (Minnesota),https://ror.org/05vfxvp80,,,no_match,"University of St. Thomas, ( Minnesota )"
HiLung Inc,,,,no_match,HiLung Inc
Universidad Politecnica de Cartagena,https://ror.org/02k5kx966,https://ror.org/02k5kx966,1.0,marple,
National Key Research and Development Program of China,,,,no_match,National Key Research and Development Program of China
FOC Fibre Optical Components GmbH,,,,no_match,FOC Fibre Optical Components GmbH
Innovation and Entrepreneurship Training Program for Undergraduates in Hunan Province,,,,no_match,Innovation and Entrepreneurship Training Program for Undergraduates in Hunan Province
Advanced Institute of Photonic Technology and the School of Information Engineering of Guangdong University of Technology,https://ror.org/04azbjn80,https://ror.org/04azbjn80,1.0,marple,
"Yale, United States",https://ror.org/03v76x132,,,no_match,"Yale, United States"
"""Barbuda Bureau of Standards""",https://ror.org/00dbxb330,https://ror.org/00dbxb330,1.0,marple,
Shenzhen JPT Opto Electronics Co Ltd,,,,no_match,Shenzhen JPT Opto Electronics Co Ltd
National Technical University of Ukraine,,https://ror.org/00syn5v21,1.0,marple,
Institut für Halbleitertechnik,,,,no_match,Institut für Halbleitertechnik
Dai hoc Cong Nghiep Ha Noi Viet Nam,,https://ror.org/05hhz4s12,1.0,marple,
China Haida Group Guangzhou Metropolitan Area Network Technology Co,,,,no_match,China Haida Group Guangzhou Metropolitan Area Network Technology Co
Present addressMIRSENSE,,,,no_match,Present addressMIRSENSE
Zhangjiang Laboratory,https://ror.org/0208qbg77,,,no_match,Zhangjiang Laboratory
18019220506 China,,,,no_match,"18019220506, China"
"John Wiley & Sons, Hoboken",https://ror.org/02xe89706,https://ror.org/000gm1k91,1.0,crf_fallback,John Wiley & Sons
George Washington University,https://ror.org/00y4zzh67,https://ror.org/00y4zzh67,1.0,marple,
Division of Neurology,,,,no_match,Division of Neurology
Leibniz Institute for German Marine History (DSM),https://ror.org/02hdxnq28,,,no_match,Leibniz Institute for German Marine History ( DSM )
RIKEN Brain Science Institute,https://ror.org/04j1n1c04,,,no_match,RIKEN Brain Science Institute
Wood Centre for Innovation,,,,no_match,Wood Centre for Innovation
QTI srl,,,,no_match,QTI srl
NK Photonics Ltd,,,,no_match,NK Photonics Ltd
"Division of Information Science and Engineering, KTH Royal Institute of Technology, Stockholm, Sweden",https://ror.org/026vcq606,https://ror.org/026vcq606,1.0,marple,
Shenzhen Nanshan Peoples Hospital and The 6th Affiliated Hospital of Shenzhen University Health Science Center,https://ror.org/00qftst12,https://ror.org/04yjbr930,1.0,marple,
University of Pennsylvania,https://ror.org/00b30xv10,https://ror.org/00b30xv10,1.0,marple,
"Department of Chemistry, University of Zürich, Zürich, Switzerland",https://ror.org/02crff812,https://ror.org/02crff812,1.0,marple,
Cardiff Metropolitan University,https://ror.org/00bqvf857,https://ror.org/00bqvf857,1.0,marple,
Bangabandhu Sheikh Mujibur Rahman Science & Technology University,https://ror.org/011xjpe74,https://ror.org/011xjpe74,1.0,marple,
Shanghai Eye Diseases Prevention and Treatment Center,https://ror.org/0048a4976,https://ror.org/0048a4976,1.0,marple,
Universi,,,,no_match,Universi
Guangdong Provincial Key Laboratory of Semiconductor Optoelectronic Materials and Intelligent Photonic Systems,,,,no_match,Guangdong Provincial Key Laboratory of Semiconductor Optoelectronic Materials and Intelligent Photonic Systems
Fujian Science & Technology Innovation Laboratory for Optoelectronic Information of China  Mindu Innovation Laboratory,,,,no_match,Fujian Science & Technology Innovation Laboratory for Optoelectronic Information of China Mindu Innovation Laboratory
"NEW ORLEANS, CITY OF",,,,no_match,NEW ORLEANS
Hochschule Darmstadt University of Applied Sciences (3312),https://ror.org/047wbd030,https://ror.org/047wbd030,1.0,marple,
Hebei Medical University,https://ror.org/04eymdx19,https://ror.org/04eymdx19,1.0,marple,
QUANTIC team,,https://ror.org/01q28w082,0.92,crf_fallback,QUANTIC team
Institute of Theoretical and Applied Mechanics of the Czech Academy of Sciences,https://ror.org/01hxbnq19,https://ror.org/01hxbnq19,1.0,marple,
State Key Laboratory of Mobile Network and Mobile Multimedia Technology,,https://ror.org/05cd55294,1.0,marple,
POCI - Programa Operacional Competitividade e Internacionalização,,,,no_match,POCI - Programa Operacional Competitividade e Internacionalização
Ruhr University Bochum,https://ror.org/04tsk2644,https://ror.org/04tsk2644,1.0,marple,
Banta Corporation France,,,,no_match,Banta Corporation France
The First Affiliated Hospital of China Medical University China,https://ror.org/04wjghj95,https://ror.org/04wjghj95,1.0,marple,
IPG Photonics Southeast Technology Center,,,,no_match,IPG Photonics Southeast Technology Center
AT&T Corp. Réunion,,,,no_match,"AT & T Corp., Réunion"
National Research Council of Canada Nanotechnology Research Centre,https://ror.org/04mte1k06; https://ror.org/05c0g2426,,,no_match,National Research Council of Canada Nanotechnology Research Centre
University of Michigan,https://ror.org/00jmfr291,https://ror.org/00jmfr291,1.0,marple,
Instituto de Fisica Interdisciplinar y Sistemas Complejos   Palma de Mallorca,https://ror.org/00pfxsh56,https://ror.org/00pfxsh56,1.0,marple,
On Semiconductor Corp,,,,no_match,On Semiconductor Corp
Chongqing University of Science & Technology,https://ror.org/03n3v6d52,https://ror.org/03n3v6d52,1.0,marple,
Evatec AG,,,,no_match,Evatec AG
Bharathidhasan University,https://ror.org/02w7vnb60,https://ror.org/038a1tp19,0.2703604333333333,marple,
Lund University,https://ror.org/012a77v79,https://ror.org/012a77v79,1.0,marple,
Brandenburg University of Technology Cottbus Senftenberg  BTU,https://ror.org/02wxx3e24,https://ror.org/02wxx3e24,1.0,marple,
HarbinEngineering University,https://ror.org/03x80pn82,https://ror.org/01evb6z23,0.2703604333333333,marple,
Guangdong Institute of Cardiovascular Diseases,,,,no_match,Guangdong Institute of Cardiovascular Diseases
"Shaanxi Provincial Transport Planning Design and Research Institute Co., Ltd,",,,,no_match,Shaanxi Provincial Transport Planning Design and Research Institute Co.; Ltd
The University of Queensland Diamantina Institute,https://ror.org/00rqy9422,https://ror.org/00rqy9422,1.0,marple,
Jiangxi Engineering Laboratory for Optoelectronics Testing Technology,,https://ror.org/03v61g875,1.0,marple,
Institute for Information & Communications Technology Planning & Evaluation (IITP),,,,no_match,Institute for Information & Communications Technology Planning & Evaluation ( IITP )
Hanoi Pedagogical University 2 (HPU2),https://ror.org/00st18g74,https://ror.org/00st18g74,1.0,marple,
China Ship Research and Development Academy,,,,no_match,China Ship Research and Development Academy
University of Colorado School of Medicine,,https://ror.org/04cqn7d42,1.0,crf_fallback,University of Colorado School of Medicine
"Associate Professor, Kwangwoon University, Seoul, Korea",https://ror.org/02e9zc863,https://ror.org/02e9zc863,1.0,marple,
"�utscher Wetterdienst, Offenbach am Main 63067, Germanys",https://ror.org/02nrqs528,https://ror.org/02nrqs528,0.95,crf_fallback,� utscher Wetterdienst
